site,predation_trt,rep,harvest_week,harvest_date,analyzer,collembola,staphylinidae,staphylinidae_larval,sminthuridae
Intensive Agriculture,CB,5,1,2/9/2024,Caroline,1,0,0,0
Intensive Agriculture,CB,7,1,2/9/2024,Caroline,2,0,0,0
Intensive Agriculture,CB,2,1,2/9/2024,Reggie,2,0,0,0
Intensive Agriculture,C,1,1,2/9/2024,Reggie,2,0,0,0
Intensive Agriculture,C,7,1,2/9/2024,Reggie,0,0,0,0
Intensive Agriculture,C,8,1,2/9/2024,Caroline,0,0,0,0
Urbanized,CB,8,1,2/9/2024,Caroline,5,0,0,1
Urbanized,CB,7,1,2/9/2024,Caroline,3,0,0,0
Urbanized,CB,6,1,2/9/2024,Caroline,0,0,0,2
Urbanized,C,7,1,2/9/2024,Caroline,7,0,0,24
Urbanized,C,1,1,2/9/2024,Caroline,2,0,0,0
Urbanized,C,5,1,2/9/2024,Caroline,3,0,0,2
Grassland,CB,5,1,2/9/2024,Caroline,2,0,0,0
Grassland,CB,8,1,2/9/2024,Caroline,2,0,0,0
Grassland,CB,3,1,2/9/2024,Caroline,2,0,0,0
Grassland,C,6,1,2/9/2024,Caroline,1,0,0,0
Grassland,C,1,1,2/9/2024,Caroline,5,0,0,0
Grassland,C,4,1,2/9/2024,Caroline,5,0,0,0
Intensive Agriculture,CB,8,2,2/16/2024,Caroline,0,0,0,0
Intensive Agriculture,CB,1,2,2/16/2024,Caroline,1,0,0,0
Intensive Agriculture,CB,9,2,2/16/2024,Caroline,2,0,0,0
Intensive Agriculture,C,6,2,2/16/2024,Caroline,0,0,0,0
Intensive Agriculture,C,5,2,2/16/2024,Caroline,1,0,0,0
Intensive Agriculture,C,2,2,2/16/2024,Reggie,2,0,0,0
Urbanized,CB,1,2,2/16/2024,Caroline,0,0,0,0
Urbanized,CB,9,2,2/16/2024,Caroline,0,0,0,38
Urbanized,CB,5,2,2/16/2024,Reggie,0,0,0,0
Urbanized,C,3,2,2/16/2024,Caroline,2,0,0,22
Urbanized,C,4,2,2/16/2024,Reggie,0,0,0,0
Urbanized,C,9,2,2/16/2024,Daja,1,0,0,0
Grassland,CB,2,2,2/16/2024,Caroline,0,0,0,0
Grassland,CB,7,2,2/16/2024,Reggie,0,0,0,0
Grassland,CB,9,2,2/16/2024,Caroline,3,0,0,0
Grassland,C,3,2,2/16/2024,Caroline,0,0,0,1
Grassland,C,7,2,2/16/2024,Reggie,4,0,0,0
Grassland,C,9,2,2/16/2024,Reggie,1,0,0,0
Intensive Agriculture,CB,6,3,2/23/2024,Matt,1,0,0,0
Intensive Agriculture,CB,3,3,2/23/2024,Reggie,0,0,0,1
Intensive Agriculture,CB,4,3,2/23/2024,Daja,1,0,0,0
Intensive Agriculture,C,3,3,2/23/2024,Matt,0,0,0,0
Intensive Agriculture,C,9,3,2/23/2024,Reggie,0,0,0,0
Intensive Agriculture,C,4,3,2/23/2024,Daja,0,0,0,0
Urbanized,CB,2,3,2/23/2024,Caroline,0,0,0,262
Urbanized,CB,3,3,2/23/2024,Caroline,0,0,0,3
Urbanized,CB,4,3,2/23/2024,Matt,0,0,0,0
Urbanized,C,2,3,2/23/2024,Matt,2,0,0,1512
Urbanized,C,8,3,2/23/2024,Matt,2,0,0,0
Urbanized,C,6,3,2/23/2024,Matt,1,0,0,0
Grassland,CB,6,3,2/23/2024,Matt,0,0,0,0
Grassland,CB,4,3,2/23/2024,Reggie,5,0,0,0
Grassland,CB,1,3,2/23/2024,Daja,2,0,0,0
Grassland,C,2,3,2/23/2024,Reggie,0,0,0,0
Grassland,C,5,3,2/23/2024,Daja,0,0,0,0
Grassland,C,8,3,2/23/2024,Daja,0,0,0,0
